Business ID,name,Coefficient Type,Feature,Coefficient
6a4gLLFSgr-Q6CZXDLzBGQ,Cochon,Bottom 5 Negative,Taste Preferences,-0.138386837740027
6a4gLLFSgr-Q6CZXDLzBGQ,Cochon,Bottom 5 Negative,Long Waits,-0.132944245225339
6a4gLLFSgr-Q6CZXDLzBGQ,Cochon,Bottom 5 Negative,Shrimp Po' Boy,-0.109632552386777
6a4gLLFSgr-Q6CZXDLzBGQ,Cochon,Bottom 5 Negative,Satisfactory Experience,-0.10892896547505
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Top 5 Positive,Outdoor Seating,0.172840512820866
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Top 5 Positive,Extraordinary Recommendation,0.156760963496059
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Top 5 Positive,Cheese and Steak,0.146647747778398
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Top 5 Positive,New Orleans Culture,0.126066943925504
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Top 5 Positive,Return Intent,0.124461241796676
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Bottom 5 Negative,Food Quality,-0.356034130171306
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Bottom 5 Negative,Mediocre Food,-0.185003291175391
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Bottom 5 Negative,Tourist Avoidance,-0.180668702305061
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Bottom 5 Negative,Taste Preferences,-0.172833208458639
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Bottom 5 Negative,Philadelphia Cheesesteak,-0.1060557480954
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Top 5 Positive,Extraordinary Recommendation,0.206517965848902
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Top 5 Positive,Return Intent,0.1115501039274
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Top 5 Positive,Quality Dining,0.102738851657569
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Top 5 Positive,Outstanding Service,0.091080114012896
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Top 5 Positive,Bar Atmosphere,0.088199060386205
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Bottom 5 Negative,Taste Preferences,-0.228973316945305
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Bottom 5 Negative,Mediocre Food,-0.158523142765394
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Bottom 5 Negative,Tourist Avoidance,-0.153814617182472
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Bottom 5 Negative,Service Issues,-0.144744412229256
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,Bottom 5 Negative,Food Quality,-0.117977032491093
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Top 5 Positive,Oyster Specialties,0.206976160271622
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Top 5 Positive,Cheese and Steak,0.14721742422712
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Top 5 Positive,Extraordinary Recommendation,0.133483543837197
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Top 5 Positive,Bar Atmosphere,0.124778542045964
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Top 5 Positive,Lacking Value,0.1211183304235
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Bottom 5 Negative,Tourist Avoidance,-0.210341202651982
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Bottom 5 Negative,Food Quality,-0.20415756247572
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Bottom 5 Negative,Service Issues,-0.155007712603227
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Bottom 5 Negative,Taste Preferences,-0.145085801383079
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,Bottom 5 Negative,Mediocre Food,-0.138844053799596
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Top 5 Positive,Extraordinary Recommendation,0.180710792650465
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Top 5 Positive,Cheese and Steak,0.122317985518068
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Top 5 Positive,Breakfast Choices,0.102263227079111
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Top 5 Positive,Quality Dining,0.092078039614521
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Top 5 Positive,Lacking Value,0.083854219094053
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Bottom 5 Negative,Taste Preferences,-0.195140382134267
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Bottom 5 Negative,Service Issues,-0.140814930118007
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Bottom 5 Negative,Mediocre Food,-0.124353992513
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Bottom 5 Negative,Food Quality,-0.093259597569414
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,Bottom 5 Negative,Shrimp Po' Boy,-0.084058136576756
